name,brand,qualifier_data,qualifier_type,locality,street_name,distance,url,address_detail,geographic_county,postcode,administrative_boundary,telephone_number,feature_easting,feature_northing,pointx_classification_code,unique_reference_number,group_code,category_code,pointx_class_code,group,category,pointx_class
Bus Stop (Hele Road),,dvndmdjm,SMS Number,,,4.3,,,Devon,EX4,Exeter District,,291428.0,93149.0,10590732,21841133,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (St Davids Station),,dvndmawa,SMS Number,,,5.2,,,Devon,EX4,Exeter District,,291189.0,93343.0,10590732,21841137,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Manor Road),,dvndmamd,SMS Number,,,1.3,,,Devon,EX4,Exeter District,,291029.0,92297.0,10590732,21841200,10,59,0732,Transport,Bus transport,Bus stops
Site of St Andrew's Priory (Benedictine),,,,,,37.0,,,Devon,EX4,Exeter District,,291315.0,92336.0,3170244,20250588,03,17,0244,Attractions,Historical and cultural,"Historic buildings including castles, forts and"
Okehampton Street,,,,Exeter,,24.1,,Okehampton Street,Devon,EX4 1DY,Exeter District,,291341.0,92213.0,10540736,41263546,10,54,0736,Transport,Road and rail,Parking
The Model Shop,,,,Exeter,St. Davids Hill,15.2,www.trainsandtrack.co.uk,4,Devon,EX4 3RG,Exeter District,1392421906.0,291608.0,92860.0,9480686,48868723,09,48,0686,Retail,"Household, office, leisure and garden","Hobby, sports and pastime products"
Emmanuel Church Hall,,Not Identified (Christian),Religion,Exeter,,21.9,,Emmanuel Road,Devon,EX4,Exeter District,,291122.6,92334.7,6340459,41250927,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
St Wilfrid's School,,,,Exeter,St Davids Hill,16.6,www.stwilfrids.devon.sch.uk/,St Wilfrids School 25-29,Devon,EX4 4DA,Exeter District,1392276171.0,291534.0,92896.0,5310377,43514226,05,31,0377,Education and health,"Primary, secondary and tertiary education",Independent and preparatory schools
St David's C of E Primary School,,,,Exeter,Dinham Road,43.0,www.stdavidsprimary.devon.sch.uk,,Devon,EX4 4EE,Exeter District,1392255569.0,291571.0,92758.0,5310375,43531198,05,31,0375,Education and health,"Primary, secondary and tertiary education","First, primary and infant schools"
Old Chapel Christian Fellowship,,Other (Christian),Religion,Exeter,Bartholomew Street West,18.1,,Old Chapel,Devon,EX4 3AJ,Exeter District,1392214129.0,291610.4,92396.8,6340459,68798016,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
St Davids Veterinary Group,,,,Exeter,St. Davids,21.7,www.stdavidsveterinarygroup.co.uk,St. Davids Station,Devon,EX4 4NT,Exeter District,1392271221.0,291172.0,93221.0,5260322,75360041,05,26,0322,Education and health,Animal welfare,Veterinarians and animal hospitals
Colin Sutton UKcp Registered Psychotherapist,,,,Exeter,Richmond Road,9.5,,19,Devon,EX4 4JA,Exeter District,1392966704.0,291611.6,92971.5,5280372,75479803,05,28,0372,Education and health,Health practitioners and establishments,Mental health centres and practitioners
Campus Living Villages,,,,Exeter,Brunel Close,16.0,www.mystudentvillage.com,Block A Point Exe,Devon,EX4 4FD,Exeter District,1392213545.0,291213.0,93094.0,1010009,95762046,01,01,0009,"Accommodation, eating and drinking",Accommodation,Youth accommodation
Pest Eradication West,,,,Exeter,Okehampton Road,13.6,,8,Devon,EX4 1EH,Exeter District,1392273881.0,291154.0,92273.0,2070109,108276527,02,07,0109,Commercial services,Contract services,Pest and vermin control
The Hair Hub,,,,Exeter,St. Davids Hill,9.9,,24b,Devon,EX4 4DT,Exeter District,1392274459.0,291539.7,92936.3,2100156,110617318,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Electricity Sub Station,,,,,,63.2,,,Devon,EX4,Exeter District,,291092.4,93165.6,6340433,159993751,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Bus Stop (Matford Lane for County Hall),,dvndmtda,SMS Number,,,2.6,,,Devon,EX2,Exeter District,,292944.0,92044.0,10590732,21841394,10,59,0732,Transport,Bus transport,Bus stops
On the Waterfront,,Pizza Restaurant,Restaurant Type,Exeter,The Quay,15.6,www.waterfrontexeter.co.uk,5-9,Devon,EX2 4AP,Exeter District,1392210590.0,292070.0,92094.0,1020043,48035006,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Crusty Cobs,,,,Exeter,St. Thomas Centre,17.0,,5,Devon,EX4 1DG,Exeter District,1392273333.0,291326.0,92011.0,9470661,48779350,09,47,0661,Retail,"Food, drink and multi item retail",Bakeries
CLIC Sargent Shop,CLIC Sargent,,,Exeter,St. Thomas Centre,38.3,www.clicsargent.org.uk,11,Devon,EX4 1DG,Exeter District,1392215040.0,291360.0,92032.0,9480714,48962901,09,48,0714,Retail,"Household, office, leisure and garden",Charity shops
Lloyds Bank,Lloyds,,,Exeter,St. Thomas Centre,41.9,www.lloydsbank.com,13,Devon,EX4 1DF,Exeter District,3453000000.0,291375.0,92022.0,2090138,54745807,02,09,0138,Commercial services,Legal and financial,Banks and building societies
Westexe Mortgage Solutions Ltd,,,,Exeter,Okehampton Street,15.0,www.westexe-mortgages.co.uk,25,Devon,EX4 1DY,Exeter District,1392216344.0,291394.0,92124.0,2090150,54767232,02,09,0150,Commercial services,Legal and financial,Mortgage and financial lenders
Belulino Beauty Salons,,,,Exeter,Roberts Road,14.6,www.belulino.co.uk,4,Devon,EX2 4HB,Exeter District,1392410055.0,292411.0,92058.0,2100156,54813821,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
M Harvey Hair,,,,Exeter,The Quay,16.4,www.mharveyhair.com,44,Devon,EX2 4AN,Exeter District,1392410510.0,292005.9,92142.8,2100156,54822037,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Whitton & Laing Auctioneers,,,,Exeter,Okehampton Street,28.1,www.whittonandlaingauctioneers.co.uk,32,Devon,EX4 1DY,Exeter District,1392252621.0,291350.0,92141.0,2090137,54901841,02,09,0137,Commercial services,Legal and financial,"Auctioneers, auction rooms and valuers"
Montgomery Primary School,,,,Exeter,Redvers Road,55.3,www.montgomeryprimary.org.uk,,Devon,EX4 1BS,Exeter District,1392285240.0,291009.0,92093.0,5310375,43514523,05,31,0375,Education and health,"Primary, secondary and tertiary education","First, primary and infant schools"
Think I T,,,,Exeter,Colleton Crescent,20.9,www.thinkit.uk.com,1,Devon,EX2 4DG,Exeter District,1392435803.0,292145.5,92086.4,9480828,54626728,09,48,0828,Retail,"Household, office, leisure and garden",Computer shops
Christie & Co,Christie & Co,,,Exeter,The Quay,8.7,,Kings Wharf,Devon,EX2 4AN,Exeter District,1392285600.0,292033.0,92109.0,2110195,55085662,02,11,0195,Commercial services,Property and development services,Property information services
Riverside Church,,Evangelical (Christian),Religion,Exeter,Okehampton Street,43.5,,13-14,Devon,EX4 1DU,Exeter District,1392210146.0,291447.0,92060.0,6340459,68810967,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
The Salvation Army,The Salvation Army,,,Exeter,Friars Gate,15.3,www.salvationarmy.org.uk,Exeter Temple,Devon,EX2 4AZ,Exeter District,1392216553.0,292145.0,92159.0,6350450,75346392,06,35,0450,Public infrastructure,Organisations,Religious organisations
The Brendoncare Foundation,Brendon Care,,,Exeter,St. Leonards Road,23.3,www.brendoncare.org.uk,36-40,Devon,EX2 4LR,Exeter District,1392667290.0,292725.0,92157.0,5280373,75482219,05,28,0373,Education and health,Health practitioners and establishments,Nursing and residential care homes
Bull Meadow Clinic,,,,Exeter,Bull Meadow Road,68.4,,,Devon,EX2 4JF,Exeter District,1392208545.0,292329.0,92130.0,5280365,76251936,05,28,0365,Education and health,Health practitioners and establishments,Clinics and health centres
Exeter Ice Charitable Trust,,,,Exeter,Okehampton Street,43.5,www.icetrust.co.uk,13-14,Devon,EX4 1DU,Exeter District,1392411116.0,291447.0,92060.0,5270325,108345171,05,27,0325,Education and health,Education support services,Education services
Consol,Gloden & Consol,,,Exeter,Cowick Street,16.0,www.consol.eu,179,Devon,EX4 1AD,Exeter District,8000886090.0,291486.0,92050.0,2100156,111223716,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Enzo Lifesciences,,,,Exeter,Colleton Crescent,20.3,www.enzolifesciences.com,1,Devon,EX2 4DG,Exeter District,1392825900.0,292145.0,92086.0,7420584,124766322,07,42,0584,Manufacturing and production,Industrial products,"Medical equipment, supplies and"
Helen Beaver Hypnotherapy,,,,Exeter,Radford Road,8.2,www.helenbeaverhypnotherapyexeter.co.uk,52,Devon,EX2 4ET,Exeter District,7969733989.0,292518.0,92091.0,5280372,129836158,05,28,0372,Education and health,Health practitioners and establishments,Mental health centres and practitioners
The Generator Hub Cowork Ventures Ltd,,,,Exeter,The Quay,15.6,www.generatorhub.co.uk,The Gallery Kings Wharf,Devon,EX2 4AN,Exeter District,1392427111.0,292070.0,92094.0,2100167,141250953,02,10,0167,Commercial services,"Personal, consumer and other services","Headquarters, administration and central"
Coffee Cellar,,,,Exeter,The Quay,9.8,,22,Devon,EX2 4AP,Exeter District,1392410000.0,292017.5,92096.1,1020013,146519068,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
Electricity Sub Station,,,,,,9.8,,,Devon,EX2,Exeter District,,291835.0,92133.0,6340433,64066897,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Letter Box,,,,,,4.3,,,Devon,EX4,Exeter District,,291133.0,92080.0,6340457,68587203,06,34,0457,Public infrastructure,Infrastructure and facilities,Letter boxes
Works,,,,,,29.7,,,Devon,EX4,Exeter District,,291422.0,92089.0,7410542,78429003,07,41,0542,Manufacturing and production,Industrial features,Unspecified works or factories
Tommy Cooper Plaque,,Not Specified,Plaque Type,Exeter,56 St Leonards Road,18.0,openplaques.org/plaques/8452,Mount Radford School for Boys,Devon,EX2,Exeter District,,292665.0,92087.0,3200269,124110775,03,20,0269,Attractions,Tourism,Unspecified and other attractions
Buller Road Evangelical Church,,Evangelical (Christian),Religion,Exeter,Buller Road,18.1,,42-44,Devon,EX4 1BJ,Exeter District,,291158.0,92055.0,6340459,145677514,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
Port of Exeter Slate Plaque,,Slate,Plaque Type,Exeter,,14.2,openplaques.org/plaques/33205,The Quay,Devon,EX2,Exeter District,,292053.0,92103.0,3200269,127054984,03,20,0269,Attractions,Tourism,Unspecified and other attractions
St Leonards Church Hall,,,,Exeter,,10.6,,Roberts Road,Devon,EX2 4HD,Exeter District,,292417.0,92140.0,6340456,145875403,06,34,0456,Public infrastructure,Infrastructure and facilities,Halls and community centres
NoteMachine Ltd,,,,Exeter,Commercial Road,11.6,,7-9 Leatside,Devon,EX2 4AB,Exeter District,,291936.4,92123.8,2090141,49379694,02,09,0141,Commercial services,Legal and financial,Cash machines
Bus Stop (Devonshire Place),,dvndmpdw,SMS Number,,,0.4,,,Devon,EX4,Exeter District,,292560.0,93774.0,10590732,21840970,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Knightley),,dvndmdpm,SMS Number,,,7.1,,,Devon,EX4,Exeter District,,291570.0,93683.0,10590732,21841381,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (The Queen's Drive),,dvndmgdj,SMS Number,,,5.8,,,Devon,EX4,Exeter District,,291725.0,93912.0,10590732,21841382,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Poole Gate),,dvndmgtm,SMS Number,,,0.9,,,Devon,EX4,Exeter District,,291908.0,93759.0,10590732,21841384,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Prince of Wales Road),,dvndmdtg,SMS Number,,,37.2,,,Devon,EX4,Exeter District,,291593.0,93616.0,10590732,21841386,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Streatham Rise),,dvndmdmd,SMS Number,,,16.0,,,Devon,EX4,Exeter District,,291473.0,93559.0,10590732,21841387,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (St James Road),,dvndmpmd,SMS Number,,,5.7,,,Devon,EX4,Exeter District,,292786.0,93299.0,10590732,21841206,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Albion Place),,dvndmtaj,SMS Number,,,7.3,,,Devon,EX4,Exeter District,,292922.0,93499.0,10590732,21841208,10,59,0732,Transport,Bus transport,Bus stops
Flagstaff,,,,,,48.6,,,Devon,EX4,Exeter District,,292110.0,93820.0,3170245,17784125,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Bus Stop (Culverland Road),,dvngjgdm,SMS Number,,,0.4,,,Devon,EX4,Exeter District,,292754.0,93842.0,10590732,27228396,10,59,0732,Transport,Bus transport,Bus stops
Exeter St Davids Rail Station,,,,,,28.8,,,Devon,EX4,Exeter District,,291164.0,93304.0,10570738,111011170,10,57,0738,Transport,"Public transport, stations and infrastructure","Railway stations, junctions and halts"
St James Park (Devon) Rail Station,,,,,,33.3,,,Devon,EX4,Exeter District,,292631.0,93482.0,10570738,111012474,10,57,0738,Transport,"Public transport, stations and infrastructure","Railway stations, junctions and halts"
Exeter St David's Station - Main,,,,Exeter,,28.0,,Bonhay Road,Devon,EX4 4NT,Exeter District,,291216.0,93367.0,10540736,41272342,10,54,0736,Transport,Road and rail,Parking
Exeter St. David's Station - Short Stay,,,,Exeter,,9.4,,Bonhay Road,Devon,EX4 4NT,Exeter District,,291219.0,93296.0,10540736,105057760,10,54,0736,Transport,Road and rail,Parking
Ariana Rugs,,,,Exeter,Blackboy Road,12.1,,6a,Devon,EX4 6SG,Exeter District,1392211179.0,292846.0,93301.0,9480675,48804065,09,48,0675,Retail,"Household, office, leisure and garden","Carpets, rugs, soft furnishings and"
Care 4 It,,,,Exeter,Blackboy Road,20.0,,13,Devon,EX4 6SG,Exeter District,1392210112.0,292889.9,93314.2,2130205,48968830,02,13,0205,Commercial services,Repair and servicing,Electrical equipment repair and servicing
Mosque and Islamic Centre for the South West,,Islamic,Religion,Exeter,York Road,24.0,,12-13,Devon,EX4 6BA,Exeter District,,292451.0,93279.0,6340459,80779075,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
Alpha Cleanse,,,,Exeter,King Stephen Close,8.8,www.alphacleanseonline.co.uk,11,Devon,EX4 4LX,Exeter District,1392495366.0,292083.0,93363.0,2070100,55071664,02,07,0100,Commercial services,Contract services,Contract cleaning services
The Lilacs Residential Care Home,,,,Exeter,Old Tiverton Road,24.6,www.stone-haven.co.uk,42-44,Devon,EX4 6NG,Exeter District,1392435271.0,292995.0,93739.0,5280373,75503947,05,28,0373,Education and health,Health practitioners and establishments,Nursing and residential care homes
Exeter Vineyard Church,,Vineyard (Christian),Religion,Exeter,Prospect Park,43.4,www.exe.vin,Zone 4 Wrentham Business Centre,Devon,EX4 6NA,Exeter District,1392426060.0,292952.0,93709.0,6340459,95709855,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
Jenny Southam Ceramics,,,,Exeter,Prospect Park,15.7,,11,Devon,EX4 6NA,Exeter District,1392437555.0,292858.0,93661.0,2100775,107663366,02,10,0775,Commercial services,"Personal, consumer and other services","Sculptors, woodworkers and stonemasons"
Bowling Green,,,,Exeter,Blackboy Road,16.1,,29-30,Devon,EX4 6ST,Exeter District,1392678962.0,292980.6,93327.4,1020034,125686893,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
College of Life & Environmental Sciences,,,,Exeter,Prince of Wales Road,41.9,www.exeter.ac.uk,Hatherly Laboratories,Devon,EX4 4PS,Exeter District,1392263673.0,291901.0,93838.0,5310381,129842290,05,31,0381,Education and health,"Primary, secondary and tertiary education",Higher education establishments
Bluebird Care Exeter,Bluebird Care,,,Exeter,Prospect Park,43.4,,Zone 1 Wrentham Business Centre,Devon,EX4 6NA,Exeter District,1392426006.0,292952.0,93709.0,2050076,165520090,02,05,0076,Commercial services,Employment and career agencies,Domestic staff and home help
Reservoir (Covered),,Unknown,Area in sq m,,,40.1,,,Devon,EX4,Exeter District,,291938.0,93347.0,3580807,64433927,03,58,0807,Attractions,Bodies of water,Reservoirs
Letter Box,,,,,,6.0,,,Devon,EX4,Exeter District,,292252.0,93520.0,6340457,68587633,06,34,0457,Public infrastructure,Infrastructure and facilities,Letter boxes
Gas Meter House,,,,,,11.6,,,Devon,EX4,Exeter District,,292441.0,93759.0,6340437,80800817,06,34,0437,Public infrastructure,Infrastructure and facilities,Gas features
Electricity Sub Station,,,,,,11.6,,,Devon,EX4,Exeter District,,292976.9,93397.3,6340433,159965508,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Bizzaz Hair,,,,Exeter,City Centre,9.8,,"8, Inglewood House, 94a, Sidwell Street",Devon,EX4 6PH,Exeter District,,292776.0,93292.0,2100156,95537040,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
@Hoopern Street,,,,Exeter,Hoopern Street,9.3,,2,Devon,EX4 4LY,Exeter District,,292091.0,93285.0,9470699,165450237,09,47,0699,Retail,"Food, drink and multi item retail",Convenience stores and independent
Frederick John Widgery Blue Plaque,,Blue,Plaque Type,Exeter,Howell Road,25.9,openplaques.org/plaques/31792,11,Devon,EX4,Exeter District,,291639.0,93304.0,3200269,127054985,03,20,0269,Attractions,Tourism,Unspecified and other attractions
Bus Stop (Village),,dvngjamg,SMS Number,,,2.9,,,Devon,EX4,Exeter District,,291148.0,93892.0,10590732,22907858,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Maryfield Avenue),,dvngdwdw,SMS Number,,,4.1,,,Devon,EX4,Exeter District,,292722.0,93837.0,10590732,22907881,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Devonshire Place),,dvngjgdj,SMS Number,,,5.3,,,Devon,EX4,Exeter District,,292577.0,93785.0,10590732,27228395,10,59,0732,Transport,Bus transport,Bus stops
University of Exeter,,,,Exeter,The Queens Drive,396.6,,Northcote House,Devon,EX4 4QJ,Exeter District,1392661000.0,291769.5,93961.7,2100167,125911106,02,10,0167,Commercial services,"Personal, consumer and other services","Headquarters, administration and central"
Exeter St. David's Station - Ward Yard,,,,Exeter,,31.3,,Cowley Bridge Road,Devon,EX4 4NT,Exeter District,,291198.0,93504.0,10540736,45456322,10,54,0736,Transport,Road and rail,Parking
Saha,Chapter 1,,,Exeter,Culverland Road,8.6,www.chapter1.org.uk,1,Devon,EX4 6JH,Exeter District,1392218044.0,292739.6,93622.4,1010005,54930808,01,01,0005,"Accommodation, eating and drinking",Accommodation,Hostels and refuges for the homeless
Santander,Santander,,,Exeter,Stocker Road,445.2,www.santander.co.uk/uk/index,Devonshire House,Devon,EX4 4PZ,Exeter District,8009179170.0,291828.6,93956.8,2090138,108294620,02,09,0138,Commercial services,Legal and financial,Banks and building societies
Hellier Ridley,,,,Exeter,New North Road,29.2,www.hellierridley.co.uk,Elmbrook House,Devon,EX4 4LA,Exeter District,1392340936.0,291491.4,93454.0,2110192,124792130,02,11,0192,Commercial services,Property and development services,Property letting
The Ram Bar,,,,Exeter,Stocker Road,445.2,,Devonshire House,Devon,EX4 4PZ,Exeter District,1392263563.0,291828.6,93956.8,1020034,125683367,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Electricity Sub Station,,,,,,11.6,,,Devon,EX4,Exeter District,,292935.0,93637.0,6340433,64007130,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Cricket Ground,,,,,,72.4,,,Devon,EX4,Exeter District,,292163.6,93747.4,4240302,161059825,04,24,0302,Sport and entertainment,Sports complex,"Sports grounds, stadia and pitches"
Exeter City Football Club White Plaque,,White,Plaque Type,Exeter,Stadium Way,51.4,openplaques.org/plaques/50391,St James Park,Devon,EX4,Exeter District,,292739.0,93467.0,3200269,158059050,03,20,0269,Attractions,Tourism,Unspecified and other attractions
Santander,,,,Exeter,Stocker Road,445.2,,Devonshire House,Devon,EX4 4PZ,Exeter District,,291828.6,93956.8,2090141,131215525,02,09,0141,Commercial services,Legal and financial,Cash machines
YCASH,,,,Exeter,,76.0,,Streatham Campus Streatham Drive,Devon,EX4 4QR,Exeter District,,291592.0,94000.0,2090141,165356527,02,09,0141,Commercial services,Legal and financial,Cash machines
Statue,,,,,,66.9,,,Devon,EX1,Exeter District,,292289.0,92785.0,3170245,18793152,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Statue,,,,,,57.6,,,Devon,EX4,Exeter District,,291970.0,92922.0,3170245,18793228,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Castle Wall,,,,,,56.8,,,Devon,EX4,Exeter District,,292069.0,92948.0,3170245,20190277,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Exeter Danes Castle Fire Station,,,,Exeter,Howell Road,49.2,www.dsfire.gov.uk,,Devon,EX4 4LP,Exeter District,,291840.3,93336.6,6330414,19951173,06,33,0414,Public infrastructure,Central and local government,Fire brigade stations
Bandstand,,,,,,91.1,,,Devon,EX4,Exeter District,,292057.0,93047.0,3170245,17778748,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Bus Stop (High Street),,dvndmjdg,SMS Number,,,1.7,,,Devon,EX4,Exeter District,,292223.0,92818.0,10590732,22109864,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Marks and Spencer),,dvndmgwg,SMS Number,,,1.1,,,Devon,EX4,Exeter District,,292019.0,92714.0,10590732,22109865,10,59,0732,Transport,Bus transport,Bus stops
Inspired Dental Care,,,,Exeter,High Street,25.9,,246,Devon,EX4 3NZ,Exeter District,1392256205.0,292184.0,92825.0,5280368,103915993,05,28,0368,Education and health,Health practitioners and establishments,Dental surgeries
Exeter Central Rail Station,,,,,,36.1,,,Devon,EX4,Exeter District,,291880.0,92951.0,10570738,111011169,10,57,0738,Transport,"Public transport, stations and infrastructure","Railway stations, junctions and halts"
Wi-Fi Hotspot (O2 Limited),,,,Exeter,Bedford Street,16.2,,12,Devon,EX1 1LL,Exeter District,,292179.0,92687.0,6340802,107699415,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (O2 Limited),,,,Exeter,Queen Street,13.3,,83,Devon,EX4 3RP,Exeter District,,291977.0,92787.8,6340802,107700806,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (O2 Limited),,,,Exeter,Bedford Street,34.9,,20,Devon,EX1 1GJ,Exeter District,,292190.2,92649.7,6340802,107701036,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (The Cloud),,,,Exeter,Longbrook Street,17.2,,25-27,Devon,EX4 6AB,Exeter District,,292298.0,93040.0,6340802,124948320,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (The Cloud),,,,"St Davids, Exeter",Roman Walk,44.9,,4-5,Devon,EX1 1GN,Exeter District,,292286.0,92708.0,6340802,159120828,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (BT Openzone),,,,Exeter,High Street,21.8,,6,Devon,EX4 3LF,Exeter District,,292245.0,92809.0,6340802,153507876,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (BT Openzone),,,,Exeter,High Street,27.8,,242,Devon,EX4 3QB,Exeter District,,292157.0,92807.0,6340802,153507930,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (BT Openzone),,,,Exeter,,27.0,,Cathedral Yard,Devon,EX1 1HD,Exeter District,,292070.0,92657.0,6340802,153507934,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Raffles Guest House,,,,Exeter,Blackall Road,25.8,www.raffles-exeter.co.uk,11,Devon,EX4 4HD,Exeter District,1392270200.0,292254.0,93304.0,1010003,47947228,01,01,0003,"Accommodation, eating and drinking",Accommodation,Bed and breakfast and backpacker
Braeside Guesthouse,,,,Exeter,New North Road,25.7,,21,Devon,EX4 4HF,Exeter District,1392256875.0,291839.0,93143.3,1010003,47963655,01,01,0003,"Accommodation, eating and drinking",Accommodation,Bed and breakfast and backpacker
Boston Tea Party,Boston Tea Party,,,Exeter,Queen Street,15.0,www.bostonteaparty.co.uk,84,Devon,EX4 3RP,Exeter District,1392201181.0,291984.0,92782.0,1020013,47968120,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
Tea on the Green,,English Restaurant,Restaurant Type,Exeter,Cathedral Close,14.1,www.teaonthegreen.com,2,Devon,EX1 1EZ,Exeter District,1392276913.0,292108.2,92646.1,1020043,47986020,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Guildhall Centre,,,,Exeter,,30.2,,Paul Street,Devon,EX4 3HP,Exeter District,,291841.0,92681.0,10540736,41263536,10,54,0736,Transport,Road and rail,Parking
Wi-Fi Hotspot (The Cloud),,,,Exeter,Queen Street,14.7,,89,Devon,EX4 3RP,Exeter District,,291998.1,92764.3,6340802,97409441,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (BT Openzone),,,,Exeter,Guildhall Shopping Centre,135.9,,1,Devon,EX4 3HP,Exeter District,,291904.4,92641.2,6340802,103375095,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (BT Openzone),,,,Exeter,Queen Street,14.8,,79-81,Devon,EX4 3RP,Exeter District,,291961.3,92809.3,6340802,104153978,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Time Piece,,,,Exeter,Little Castle Street,9.0,www.timepiecenightclub.co.uk,Easton Buildings,Devon,EX4 3PX,Exeter District,1392493096.0,292183.6,92872.9,4250312,47990749,04,25,0312,Sport and entertainment,"Venues, stage and screen",Nightclubs
Sandwich Bar,,,,Exeter,High Street,21.9,,4 Roman Gate 252,Devon,EX4 3PZ,Exeter District,1392424747.0,292255.0,92816.0,1020018,48009310,01,02,0018,"Accommodation, eating and drinking",Eating and drinking,Fast food and takeaway outlets
Gourmet Fish & Chip Shop,,,,Exeter,Longbrook Street,12.1,,29,Devon,EX4 6AB,Exeter District,1392421320.0,292306.0,93052.0,1020020,48014614,01,02,0020,"Accommodation, eating and drinking",Eating and drinking,Fish and chip shops
Wagamama,Wagamama,Japanese Restaurant,Restaurant Type,Exeter,Bedford Street,40.6,www.wagamama.com,16,Devon,EX1 1LL,Exeter District,1392274810.0,292167.4,92664.2,1020043,48034406,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
The Black Horse,Greene King,,,Exeter,Longbrook Street,17.2,,25-27,Devon,EX4 6AB,Exeter District,1392257974.0,292298.0,93040.0,1020034,48052587,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
The Hole in the Wall,,,,Exeter,Little Castle Street,8.8,www.theholeinthewall.pub,,Devon,EX4 3PX,Exeter District,1392437470.0,292172.0,92883.0,1020034,48067891,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Old Timers Wine Bar,,,,Exeter,Little Castle Street,20.9,,,Devon,EX4 3PX,Exeter District,1392477704.0,292192.8,92880.5,1020034,48078297,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
John Gandy's,,,,Exeter,Gandy Street,11.4,www.johngandys.co.uk,23,Devon,EX4 3LS,Exeter District,1392213924.0,292009.0,92812.0,1020034,48076711,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Gap,Gap,,,Exeter,High Street,19.7,www.gap.co.uk,8-9,Devon,EX4 3LF,Exeter District,1392424080.0,292233.0,92803.0,9460656,48743680,09,46,0656,Retail,Clothing and accessories,Clothing
